Category,Number,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,
Molecular Function,16491,oxidoreductase activity,25,1.317870322,0.071863458,"ERO1B, MAOA, FAXDC2, TYRP1, HSD17B14, LOC375196, COX6A2, AIFM3, HEPHL1, UQCRFS1, DHRS4L2, VAT1, ST6GAL2, TXNRD2, SMOX, DHDH, PIPOX, PEDS1, PTGR3, ALDH4A1, DHRS7, BDH2, CYP21A2, SARDH, BLVRA",1449,220,18178,1.425591317,1,1,0.998653199,
Cellular Component,5759,mitochondrial matrix,40,2.108592514,0.071997464,"ACADVL, ACSS3, PARG, ACSM3, CHPF, PPM1K, PDHB, FOXO3, MRM1, ACAT1, NFS1, ACP6, MTG2, IDH3B, PDSS2, PDK3, FOXO3B, HMGCS2, ACSS1, RARS2, MCCC2, PDHA1, TXNRD2, NUBPL, MMAB, BCKDHB, PABPC5, GOT2, ACADSB, ACSF2, WARS2, ALDH4A1, SMDT1, CPS1, PDE12, TTC5, SARDH, TARS2, NAGS, BCAT2",1515,397,19595,1.303173138,1,1,0.98988622,
Cellular Component,2142,stereocilia ankle link complex,3,0.158144439,0.072609463,"ADGRV1, USH1C, PDZD7",1515,6,19595,6.4669967,1,1,0.98988622,
Cellular Component,5576,extracellular region,182,9.594095941,0.073043175,"F13A1, EMC10, ACRBP, LOXL1, EFEMP2, IBSP, BPIFA2, IGLON5, ENPP2, SVEP1, PRSS8, DHRS4L2, PCID2, MUCL1, ACTN2, WNT5A, IGFBP2, EPDR1, VWDE, PDYN, OLFM4, ZPBP, BCAN, OLFM1, OLFM2, BCAM, FNDC4, CRISPLD1, CRISPLD2, CD8A, SCG5, HHIPL1, LYG2, EMID1, FTL, FBN2, CALCA, CPB2, NXPH4, LHB, C1ORF56, PCDH15, STC1, KLK4, KLK3, AEBP1, KLK2, ADAMTS12, ART5, PLA2G7, FBLN2, GNS, TMEM25, APOO, CRACR2A, PRDX4, THPO, LCN12, LCN10, OTOG, APOE, PLTP, PCDHA6, H3C6, COL28A1, CTSA, VAT1, WNT10B, COL24A1, CNTN5, RNASE10, RARRES2, MCAM, ADA2, IGF1, BMP7, ABHD15, FGF17, BMP3, BMP2, TCN2, COL5A3, FGF19, COL9A1, GNAS, GNRH2, CALM3, REN, SHBG, ULBP2, FGF11, ARHGAP9, ACHE, DRAXIN, UCN, SPAG17, FLT4, CGB7, C1QTNF9, PYGL, DMKN, WFDC2, SERPINA5, ADAMTS2, GM2A, ADAMTSL4, PRB3, HYAL3, EMILIN3, EMILIN1, CEP290, CSTL1, CAMP, RSPO4, SRGN, IL11, RNASET2, MST1, AMPD3, ECRG4, MMP9, C1QL2, CES4A, ADAMTS20, FGR, DNAJC3, GAL, METTL24, NRG4, RTN4RL1, COL6A2, COL6A1, MMP17, ANG, ALDOC, MAPT, MATN3, NPB, CD163L1, PCOLCE2, PAPLN, DEFB126, TFPI, DLL1, FSTL4, APOLD1, LRP6, NTF4, CST3, PRRG3, WNT11, IGFBPL1, PRRG2, ADAM23, NTF3, OLFML1, ALKAL1, LY6G6C, LEFTY2, CORIN, CHGA, TUB, CA11, CGREF1, AOC1, COL26A1, PLA2G2C, F12, LGI3, KLK13, VEGFC, KLK14, OTOGL, NELL1, GLB1, APOC1, NUCB1, TEK, MDGA2, ACTR10, CCL28, F2RL3",1515,2117,19595,1.111944638,1,1,0.98988622,
Biological Process,1902430,negative regulation of beta-amyloid formation,6,0.316288877,0.073801985,"RTN2, RTN1, CHRNA7, CHRFAM7A, IGF1, APOE",1416,30,18585,2.625,1,1,0.999344262,
Cellular Component,5581,collagen trimer,13,0.685292567,0.074705675,"COL28A1, MSR1, COL26A1, COL24A1, PCOLCE2, C1QTNF9, C1QL2, COL6A2, COL5A3, COL6A1, COL9A1, EMILIN1, EMID1",1515,98,19595,1.715733818,1,1,0.98988622,
Molecular Function,5044,scavenger receptor activity,8,0.421718503,0.076944736,"PGBD1, MSR1, SCARB1, CD163L1, SCARA5, ENPP2, HHIPL1, ACKR3",1449,47,18178,2.135353802,1,1,0.998653199,
Cellular Component,5770,late endosome,18,0.948866632,0.078736233,"SLC30A3, SLC31A2, AP5Z1, SRC, SLA2, GRIN2B, TMEM230, TMEM25, AP5M1, ATP7B, RNF128, LAMP1, KCNQ1, ATP13A2, AP5S1, RAB9B, ATP9A, VPS16",1515,152,19595,1.531657113,1,1,0.98988622,
Molecular Function,1540,beta-amyloid binding,12,0.632577754,0.079085067,"CST3, MSR1, SCARB1, ACHE, CLSTN3, CHRNA7, FBXO2, CACNA1B, CHRFAM7A, APOE, GRIN2B, ITM2C",1449,86,18178,1.750493524,1,1,0.998653199,
Biological Process,16192,vesicle-mediated transport,25,1.317870322,0.080402316,"NAPA, SPTBN4, NAPB, AP5Z1, STX16, MLC1, FMN2, PRICKLE1, CECR2, AP5M1, AP1G2, CPNE1, AP2S1, RAB29, KIF1A, BVES, AP5S1, SYT5, SYT3, FUZ, AP2B1, RAB30, SNX17, RAB38, ERGIC3",1416,233,18585,1.408261803,1,1,0.999344262,
Molecular Function,4114,"3',5'-cyclic-nucleotide phosphodiesterase activity",5,0.263574064,0.080799732,"PDE11A, PDE1C, PDE1B, PDE3B, PDE6B",1449,21,18178,2.986953235,1,1,0.998653199,
Biological Process,45807,positive regulation of endocytosis,5,0.263574064,0.081507242,"PPP3CA, WNT5A, AP2B1, APOE, DLL1",1416,22,18585,2.982954545,1,1,0.999344262,
Biological Process,50908,detection of light stimulus involved in visual perception,5,0.263574064,0.081507242,"RGS9BP, PRPH2, CEP250, CACNA1F, EYS",1416,22,18585,2.982954545,1,1,0.999344262,
Biological Process,6687,glycosphingolipid metabolic process,5,0.263574064,0.081507242,"GLTP, ABCA2, GM2A, GLB1, B4GALNT1",1416,22,18585,2.982954545,1,1,0.999344262,
Cellular Component,98793,presynapse,20,1.054296257,0.083120576,"NAPA, ARFGEF2, SLC6A13, SLC6A12, SEPTIN3, AP2B1, ADCY1, SYN3, LIN7B, SYN2, UBE2L3, SLC8A2, CACNB2, GRK3, SNPH, AP2S1, SLC29A4, SLC29A1, ASIC1, APPL1",1515,175,19595,1.478170674,1,1,0.98988622,
Biological Process,51452,intracellular pH reduction,4,0.210859251,0.085248514,"GPR89A, SLC12A5, ATP6AP2, GPR89B",1416,14,18585,3.75,1,1,0.999344262,
Biological Process,60317,cardiac epithelial to mesenchymal transition,4,0.210859251,0.085248514,"OLFM1, BMP2, HEY1, TBX3",1416,14,18585,3.75,1,1,0.999344262,
Molecular Function,36094,small molecule binding,6,0.316288877,0.085952929,"SULT2B1, IBSP, CPS1, LCN12, SHMT1, LCN10",1449,30,18178,2.509040718,1,1,0.998653199,
Molecular Function,8395,steroid hydroxylase activity,6,0.316288877,0.085952929,"CYP39A1, CYP2A13, CYP21A2, CYP2R1, CYP2F1, CYP7B1",1449,30,18178,2.509040718,1,1,0.998653199,
Molecular Function,5244,voltage-gated ion channel activity,9,0.474433316,0.087739381,"CACNG6, TMEM37, CACNG8, GPR89A, CLIC3, CACNA2D2, KCNAB1, GPR89B, SCN2B",1449,58,18178,1.946669522,1,1,0.998653199,
Biological Process,51591,response to cAMP,7,0.36900369,0.088248474,"DUOX1, BCKDHB, BSG, REN, TEK, HMGCS2, CDO1",1416,41,18585,2.240853659,1,1,0.999344262,
Biological Process,60079,excitatory postsynaptic potential,10,0.527148129,0.089026868,"MPP2, CHRNB1, PPP3CA, P2RX5, GLRA3, CHRNA7, CELF4, CHRFAM7A, SLC29A1, GRIN2B",1416,71,18585,1.848591549,1,1,0.999344262,
Cellular Component,32587,ruffle membrane,13,0.685292567,0.089128882,"PSD, PLA2G4F, SRC, RASGRP2, CORO1C, FGR, EPB41L5, FERMT1, DLC1, PDPN, LCP1, PLCG1, ITGA5",1515,101,19595,1.664771428,1,1,0.98988622,
Cellular Component,30018,Z disc,16,0.843437006,0.089257486,"RTN2, TRIM63, ACTN2, PSEN2, CACNA1D, KCNA5, PARVB, IGFN1, FKBP1A, PPP3CA, FKBP1C, MYO18B, KCNN2, TRIM54, MYL9, PDLIM7",1515,133,19595,1.555969131,1,1,0.98988622,
Biological Process,33138,positive regulation of peptidyl-serine phosphorylation,12,0.632577754,0.089862898,"MAD2L2, NTF4, UCN, IL11, BAG4, PINK1, CHRNA7, WNT5A, NTF3, CREBL2, SMYD3, HDAC6",1416,92,18585,1.711956522,1,1,0.999344262,
Biological Process,71277,cellular response to calcium ion,12,0.632577754,0.089862898,"SYT5, CPNE8, SYT3, DMTN, ADGRV1, WNT5A, ITPKA, CPNE1, CHP2, ADCY1, ADCY8, RASGRP2",1416,92,18585,1.711956522,1,1,0.999344262,
Biological Process,9968,negative regulation of signal transduction,8,0.421718503,0.090260795,"MPIG6B, KBTBD6, SRMS, RGS19, RGS9BP, RGS11, KBTBD7, DACT1",1416,51,18585,2.058823529,1,1,0.999344262,
Biological Process,48839,inner ear development,8,0.421718503,0.090260795,"BMP2, CDKN1B, ADGRV1, KCNQ1, ESRRB, PCDH15, MPV17, DLL1",1416,51,18585,2.058823529,1,1,0.999344262,
Biological Process,8283,cell proliferation,20,1.054296257,0.092007745,"IL11, CNTNAP2, LTK, SRC, ESRRB, ODC1, LIG4, DDX41, IGF1, UBE2L3, PAX1, CUL4A, DACH1, GNG2, THPO, SIX2, ERCC1, ERCC2, TACC2, CEMP1",1416,180,18585,1.458333333,1,1,0.999344262,
Biological Process,43552,positive regulation of phosphatidylinositol 3-kinase activity,6,0.316288877,0.092219504,"FGR, SRC, EPHA8, CD19, TEK, ATG14",1416,32,18585,2.4609375,1,1,0.999344262,
Molecular Function,4180,carboxypeptidase activity,5,0.263574064,0.092810909,"CTSA, FOLH1, BLMH, AEBP1, CNDP2",1449,22,18178,2.851182634,1,1,0.998653199,
Biological Process,1901214,regulation of neuron death,5,0.263574064,0.092993743,"CHRNA7, RAB29, CHRFAM7A, APOE, SNCB",1416,23,18585,2.85326087,1,1,0.999344262,
Biological Process,1903288,positive regulation of potassium ion import,3,0.158144439,0.094126901,"WNK2, WNK3, ATP1B2",1416,7,18585,5.625,1,1,0.999344262,
Biological Process,34440,lipid oxidation,3,0.158144439,0.094126901,"ALOX12B, PLA2G7, ALOX15B",1416,7,18585,5.625,1,1,0.999344262,
Biological Process,19236,response to pheromone,3,0.158144439,0.094126901,"TMEM145, GPR180, VN1R1",1416,7,18585,5.625,1,1,0.999344262,
Molecular Function,22857,transmembrane transporter activity,19,1.001581444,0.09432409,"SLC46A1, SLC44A4, SVOP, SLC43A1, SLC5A11, SLC16A11, SLC4A11, SLC5A12, SLC4A3, SLC5A2, SLC16A14, SLC22A23, SLC25A18, SLC17A9, SV2B, SLCO1A2, SLC16A6, SLC17A7, SLC16A4",1449,162,18178,1.471351038,1,1,0.998653199,
Cellular Component,30054,cell junction,25,1.317870322,0.094507815,"SPTBN4, BRSK1, TENM2, SRC, KCNA1, SLC7A2, SLC8A2, CDH3, DPH1, PPP1R13L, BASP1, PDPN, BVES, MPP2, SLC16A1, DTNA, SMAGP, ACTN2, SLC16A10, MPP7, CLDN5, FERMT1, DLG4, LCP1, ADA",1515,234,19595,1.381836902,1,1,0.98988622,
Molecular Function,5313,L-glutamate transmembrane transporter activity,4,0.210859251,0.094804407,"SLC25A18, SLC38A7, SLC17A7, SLC1A6",1449,14,18178,3.584343882,1,1,0.998653199,
Molecular Function,4181,metallocarboxypeptidase activity,6,0.316288877,0.09609929,"AGBL5, AGBL4, CPB2, FOLH1, AGBL1, AEBP1",1449,31,18178,2.42810392,1,1,0.998653199,
Cellular Component,30119,AP-type membrane coat adaptor complex,3,0.158144439,0.096566697,"AP5M1, AP5Z1, AP5S1",1515,7,19595,5.543140028,1,1,0.98988622,
Cellular Component,34705,potassium channel complex,3,0.158144439,0.096566697,"KCNAB1, KCNA5, KCNA6",1515,7,19595,5.543140028,1,1,0.98988622,
Biological Process,45184,establishment of protein localization,7,0.36900369,0.096676639,"ADGRV1, DLG4, ADAM11, SMYD3, DZIP1, PDZD7, CORO1C",1416,42,18585,2.1875,1,1,0.999344262,
Biological Process,60048,cardiac muscle contraction,7,0.36900369,0.096676639,"KCNH2, PPP1R13L, KCNQ1, TNNI3, NKX2-5, SCN2B, MAP2K6",1416,42,18585,2.1875,1,1,0.999344262,
Biological Process,30217,T cell differentiation,7,0.36900369,0.096676639,"LMBR1L, WNT10B, PREX1, GPR89A, CD4, DTX1, GPR89B",1416,42,18585,2.1875,1,1,0.999344262,
Cellular Component,97708,intracellular vesicle,5,0.263574064,0.096957523,"AP1G2, TYRP1, RAB29, AP2B1, APPL1",1515,23,19595,2.811737696,1,1,0.98988622,
